# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
1712, 53.958, 0.076, 0.001, 0.227, 0.001, 0.083, -0.003
1717, 54.125, 0.126, -0.000, 0.226, -0.000, 0.105, -0.000
1724, 54.348, 0.099, 0.001, 0.091, 0.001, 0.125, -0.003
1727, 54.501, 0.121, -0.000, 0.238, -0.000, 0.101, -0.000
1739, 54.850, 0.107, 0.003, 0.101, -0.001, 0.083, -0.001
1747, 55.072, 0.115, 0.001, 0.169, 0.001, 0.117, -0.003
1755, 55.431, 0.137, -0.003, 0.113, 0.001, 0.120, 0.001
1773, 55.848, 0.173, 0.003, 0.180, -0.001, 0.181, -0.001
1774, 55.864, 0.115, 0.003, 0.096, -0.001, 0.112, -0.001
1786, 56.228, 0.154, 0.003, 0.237, -0.001, 0.291, -0.001
1796, 56.490, 0.090, -0.000, 0.110, -0.000, 0.109, -0.000
1801, 56.644, 0.104, 0.003, 0.096, -0.001, 0.080, -0.001
1814, 57.205, 0.096, 0.001, 0.104, 0.001, 0.075, -0.003
1816, 57.298, 0.087, -0.000, 0.091, -0.000, 0.081, -0.000
1826, 57.662, 0.110, 0.001, 0.146, 0.001, 0.097, -0.003
1856, 58.695, 0.106, -0.000, 0.090, -0.000, 0.120, -0.000
1862, 59.044, 0.118, 0.001, 0.177, 0.001, 0.091, -0.003
1889, 59.757, 0.085, 0.001, 0.077, -0.003, 0.073, 0.001
1933, 61.040, 0.109, -0.000, 0.119, -0.000, 0.097, -0.000
1938, 61.239, 0.115, -0.000, 0.097, -0.000, 0.086, -0.000
1941, 61.362, 0.112, 0.001, 0.101, 0.001, 0.139, -0.003
1942, 61.368, 0.127, 0.004, 0.177, -0.000, 0.155, -0.004
1952, 61.732, 0.076, -0.000, 0.163, -0.000, 0.089, -0.000
1974, 62.573, 0.137, -0.000, 0.093, -0.000, 0.097, -0.000
1976, 62.593, 0.093, 0.004, 0.093, -0.000, 0.069, -0.004
