# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
119817, 192, 1.244,   0, 1.244,   0, 0.0928
120161, 193, 0.332,   0, 0.332,   0, 0.138
120452, 194, 1.044,   0, 1.044,   0, 0.285
120678, 195, 4.714,   4.714, 0,   0.14, 0
120901, 196, 2.14,   2.14, 0,   0.0947, 0
121157, 197, 0.472,   0.472, 0.472,   0.21, 0.0897
121483, 198, 1.654,   0, 1.654,   0, 0.0756
122773, 199, 2.062,   2.064, 2.06,   0.226, 0.205
123220, 200, 0.464,   0, 0.464,   0, 0.149
123634, 201, 2.018,   0, 2.018,   0, 0.0897
124391, 202, 0.95,   0.952, 0.948,   0.0744, 0.0866
125128, 203, 0.172,   0.172, 0.172,   0.213, 0.283
125136, 204, 0.238,   0, 0.238,   0, 0.102
125221, 205, 1.336,   0, 1.336,   0, 0.358
126612, 206, 0.336,   0, 0.336,   0, 0.165
126829, 207, 2.552,   2.552, 0,   0.113, 0
126990, 208, 1.79,   1.79, 1.79,   0.106, 0.085
127212, 209, 1.398,   0, 1.398,   0, 0.0756
127264, 210, 2.54,   2.54, 2.54,   0.112, 0.11
128056, 211, 0.558,   0, 0.558,   0, 0.166
128061, 212, 2.314,   2.314, 0,   0.115, 0
128345, 213, 0.264,   0.264, 0,   0.0931, 0
129172, 214, 5.452,   0, 5.452,   0, 0.0928
129558, 215, 2.958,   2.958, 2.958,   0.101, 0.0834
130420, 216, 0.56,   0, 0.56,   0, 0.246
130430, 217, 1.212,   1.212, 0,   0.0775, 0
130450, 218, 0.2,   0, 0.2,   0, 0.0975
131195, 219, 3.064,   3.064, 3.064,   0.165, 0.0991
131564, 220, 2.368,   0, 2.368,   0, 0.0662
132302, 221, 2.856,   2.856, 2.856,   0.132, 0.105
132642, 222, 1.66,   0, 1.66,   0, 0.18
132888, 223, 0.48,   0.48, 0.48,   0.0884, 0.0834
132923, 224, 3.228,   0, 3.228,   0, 0.0959
132926, 225, 8.944,   0, 8.944,   0, 0.13
133357, 226, 0.2,   0, 0.2,   0, 0.191
133362, 227, 1.414,   0, 1.414,   0, 0.0897
134692, 228, 1.536,   1.536, 1.536,   0.127, 0.0975
134969, 229, 2.612,   2.612, 2.612,   0.22, 0.122
137651, 230, 1.052,   1.052, 0,   0.0697, 0
138267, 231, 1.272,   1.272, 1.272,   0.131, 0.118
139243, 232, 6.872,   6.872, 6.872,   0.109, 0.0991
139539, 233, 0.552,   0, 0.552,   0, 0.115
139578, 234, 0.688,   0, 0.688,   0, 0.183
139715, 235, 0.552,   0, 0.552,   0, 0.193
140308, 236, 2.622,   0, 2.622,   0, 0.0866
142822, 237, 1.186,   0, 1.186,   0, 0.177
142916, 238, 2.06,   2.06, 2.06,   0.104, 0.107
143368, 239, 8.576,   8.576, 8.576,   0.112, 0.0975
143976, 240, 0.91,   0, 0.91,   0, 0.282
145053, 241, 5.36,   5.36, 5.36,   0.19, 0.115
145752, 242, 3.62,   0, 3.62,   0, 0.157
146129, 243, 1,   0, 1,   0, 0.0975
146496, 244, 3.932,   0, 3.932,   0, 0.0866
147503, 245, 0.388,   0, 0.388,   0, 0.176
148476, 246, 5.456,   0, 5.456,   0, 0.0787
148602, 247, 1.396,   1.396, 0,   0.338, 0
149599, 248, 1.076,   1.076, 1.076,   0.102, 0.0959
150044, 249, 2.156,   2.156, 0,   0.101, 0
150839, 250, 9.682,   0, 9.682,   0, 0.149
150971, 251, 0.852,   0, 0.852,   0, 0.254
151142, 252, 1.218,   1.218, 0,   0.09, 0
151164, 253, 2.904,   0, 2.904,   0, 0.0959
151393, 254, 1.096,   1.096, 1.096,   0.14, 0.0975
151786, 255, 1.164,   0, 1.164,   0, 0.358
153088, 256, 2.372,   0, 2.372,   0, 0.0741
153993, 257, 2.054,   2.052, 2.056,   0.101, 0.0834
154050, 258, 1.088,   1.088, 1.088,   0.102, 0.104
157186, 259, 0.66,   0, 0.66,   0, 0.0928
157539, 260, 2.068,   0, 2.068,   0, 0.102
159397, 261, 1.334,   1.332, 1.336,   0.0994, 0.0897
162259, 262, 1.654,   1.654, 1.654,   0.221, 0.124
162542, 263, 4.376,   4.376, 4.376,   0.0759, 0.152
162629, 264, 2.958,   0, 2.958,   0, 0.0928
162688, 265, 3.8,   0, 3.8,   0, 0.119
162807, 266, 6.524,   6.524, 6.524,   0.115, 0.102
162880, 267, 5.392,   0, 5.392,   0, 0.126
163076, 268, 0.884,   0.884, 0,   0.127, 0
163576, 269, 0.274,   0.276, 0.272,   0.12, 0.0756
163774, 270, 1.592,   1.592, 1.592,   0.124, 0.0725
164244, 271, 8.628,   8.628, 8.628,   0.0916, 0.122
164706, 272, 2.824,   2.824, 2.824,   0.0791, 0.118
164838, 273, 0.676,   0, 0.676,   0, 0.108
165816, 274, 0.38,   0, 0.38,   0, 0.294
166921, 275, 1.44,   0, 1.44,   0, 0.169
166977, 276, 0.58,   0, 0.58,   0, 0.138
167633, 277, 2.576,   2.576, 2.576,   0.124, 0.207
169004, 278, 2.696,   2.696, 2.696,   0.179, 0.226
169543, 279, 3.834,   0, 3.834,   0, 0.0928
169860, 280, 2.34,   2.34, 2.34,   0.0994, 0.0819
169938, 281, 0.436,   0, 0.436,   0, 0.124
170197, 282, 3.48,   0, 3.48,   0, 0.102
171857, 283, 1.9,   1.9, 1.9,   0.09, 0.101
172408, 284, 0.8,   0.8, 0.8,   0.132, 0.0959
172428, 285, 4.32,   4.32, 0,   0.115, 0
173067, 286, 1.516,   1.516, 1.516,   0.0884, 0.138
173547, 287, 0.336,   0, 0.336,   0, 0.232
174943, 288, 1.384,   1.384, 1.384,   0.163, 0.146
175691, 289, 14.41,   14.41, 14.41,   0.109, 0.0803
176274, 290, 4.764,   0, 4.764,   0, 0.0631
176650, 291, 0.8,   0, 0.8,   0, 0.0881
177253, 292, 3.032,   0, 3.032,   0, 0.108
177341, 293, 0.636,   0, 0.636,   0, 0.115
177755, 294, 0.884,   0.884, 0.884,   0.102, 0.0881
178069, 295, 2.332,   0, 2.332,   0, 0.0834
178395, 296, 1.608,   0, 1.608,   0, 0.154
178743, 297, 4.532,   0, 4.532,   0, 0.0944
178812, 298, 9.43,   9.43, 9.43,   0.209, 0.0834
179652, 299, 0.802,   0.804, 0.8,   0.245, 0.155
179792, 300, 1.772,   0, 1.772,   0, 0.129
180092, 301, 3.594,   0, 3.594,   0, 0.14
180945, 302, 0.192,   0, 0.192,   0, 0.0897
