# Datennamhe mit Kamiokanne 3. - 22. Apr. 2018  
#  Kanne 2 Karlsruhe, 1100 V, Trg. 45mv, Doppelpuls > 35 mV

# Run Summary: started 180403-2005  Trun=1623453.2s
#             Ntrig=6517345   Tlife=1574187.2s
#             Nacc=6403821 Ndble=1881

# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
2850829, 449, 0.728,   0.728, 0.279
2856214, 450, 12.65,   12.65, 0.322
2856577, 451, 1.028,   1.028, 0.256
2857970, 452, 5.708,   5.708, 0.427
2858586, 453, 0.416,   0.416, 0.0877
2859284, 454, 0.88,   0.88, 0.0643
2862110, 455, 0.764,   0.764, 0.213
2865121, 456, 2.016,   2.016, 0.0955
2890432, 457, 2.992,   2.992, 0.236
2899836, 458, 3.46,   3.46, 0.0526
2905166, 459, 2.852,   2.852, 0.0604
2913964, 460, 1.244,   1.244, 0.0565
2920820, 461, 1.96,   1.96, 0.0604
2927722, 462, 0.276,   0.276, 0.0565
2931833, 463, 13.51,   13.51, 0.455
2947362, 464, 3.14,   3.14, 0.275
2957891, 465, 10.26,   10.26, 0.517
2963309, 466, 5.536,   5.536, 0.119
2968426, 467, 13.28,   13.28, 0.283
2977904, 468, 6.072,   6.072, 0.0838
2979633, 469, 11.47,   11.47, 0.513
2981788, 470, 2.44,   2.44, 0.0604
3000421, 471, 1.712,   1.712, 0.0565
3009020, 472, 0.652,   0.652, 0.0604
3013794, 473, 5.748,   5.748, 0.384
3019147, 474, 1.588,   1.588, 0.103
3024222, 475, 3.788,   3.788, 0.154
3025514, 476, 13.59,   13.59, 0.338
3025668, 477, 2.604,   2.604, 0.0565
3033018, 478, 1.784,   1.784, 0.189
3037266, 479, 1.504,   1.504, 0.115
3064262, 480, 1.928,   1.928, 0.619
3064502, 481, 3.324,   3.324, 0.189
3074617, 482, 0.72,   0.72, 0.0838
3078755, 483, 1.364,   1.364, 0.0994
3086206, 484, 4.92,   4.92, 0.279
3094249, 485, 1.24,   1.24, 0.189
3100983, 486, 2.964,   2.964, 0.0526
3108836, 487, 4.052,   4.052, 0.107
3121487, 488, 1.404,   1.404, 0.295
3139887, 489, 2.948,   2.948, 0.256
3144342, 490, 1.22,   1.22, 0.0643
3145308, 491, 4.212,   4.212, 0.138
3153940, 492, 6.12,   6.12, 0.252
3155533, 493, 0.308,   0.308, 0.076
3156035, 494, 3.612,   3.612, 0.665
3156166, 495, 10.04,   10.04, 0.185
